01-04-2024,KAVYA DISTRIBUTORS,6160.00
01-04-2024,UDAY SURGIPHARMA(P),5600.00
02-04-2024,TOUCH SAFE SURGICAL,177.00
02-04-2024,PRANAV SURGICALS,874.00
03-04-2024,SWAMI ORTHO AIDS,8614.00
03-04-2024,VIVAN SURGICAL EXPORT & IMPORT (P),3696.00
04-04-2024,PARSHWA MEDICAL & SURGICAL (P),666.00
04-04-2024,PRANAV SURGICALS,741.00
04-04-2024,PRANAV ENTERPRISE,6608.00
04-04-2024,UDAY SURGIPHARMA(P),2912.00
04-04-2024,SUCHI INDUSTRIES LTD,7350.00
04-04-2024,SWAMI ORTHO AIDS,9744.00
05-04-2024,KAVYA DISTRIBUTORS,11760.00
05-04-2024,STOE LIFE PRIVATE LIMITED,11760.00
05-04-2024,TOUCH SAFE SURGICAL,8333.00
05-04-2024,SHAYONA INC.(INDIA),72085.00
05-04-2024,SHAYONA INC.(INDIA),14280.00
06-04-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,73091.00
06-04-2024,CRUZINE HEATHCARE PRIVATE LIMITED(P),0.00
08-04-2024,VISA INDUSTRIES,12544.00
08-04-2024,PRANAV ENTERPRISE,13216.00
08-04-2024,PRANAV SURGICALS,3920.00
08-04-2024,SHANTI MEDICARE(P),498.00
08-04-2024,KHUSHI MEDICAL AGENCY(P),234.00
09-04-2024,ORION SUTURES INDIA PRIVATE LIMITED,12394.00
09-04-2024,KAVYA DISTRIBUTORS,18816.00
10-04-2024,KAVYA DISTRIBUTORS,4838.00
10-04-2024,MITANSH SURGICAL (P),1369.00
11-04-2024,SAFILO HEALTHCARE,26880.00
12-04-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,20698.00
12-04-2024,ASTRID HEALTHCARE LLP,41350.00
12-04-2024,TOUCH SAFE SURGICAL,19992.00
13-04-2024,WEST INDIA LIFESCIENCE,1913.00
13-04-2024,HANSCURE LIFESCIENCE PVT LTD(P),2072.00
13-04-2024,TOUCH SAFE SURGICAL,8420.00
16-04-2024,SWAMI ORTHO AIDS,9744.00
16-04-2024,ASTRID HEALTHCARE LLP,15904.00
17-04-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,29420.00
17-04-2024,WEST INDIA LIFESCIENCE,3353.00
18-04-2024,KAVYA DISTRIBUTORS,5677.00
18-04-2024,PUROLIFE PHARMACEUTICALS,118541.00
18-04-2024,YAMUNA MEDITECH PVT.LTD,14224.00
18-04-2024,MITANSH SURGICAL (P),1702.00
19-04-2024,SHANTI MEDICARE(P),10466.00
20-04-2024,SIGMA SURGICAL,6160.00
22-04-2024,WEST INDIA LIFESCIENCE,1131.00
22-04-2024,SURAT SURGICAL (P),4919.00
22-04-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,50420.00
22-04-2024,ASTRID HEALTHCARE LLP,15680.00
23-04-2024,MITANSH SURGICAL (P),2878.00
23-04-2024,SWAMI ORTHO AIDS,29232.00
23-04-2024,PRACHI SURGICARE,11760.00
25-04-2024,ZYKEM HEALTHCARE PVT LTD,345139.00
25-04-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,44500.00
29-04-2024,KAVYA DISTRIBUTORS,9800.00
26-04-2024,WEST INDIA LIFESCIENCE,1677.00
26-04-2024,ASTRID HEALTHCARE LLP,9542.00
27-04-2024,MITANSH SURGICAL (P),1369.00
27-04-2024,TOUCH SAFE SURGICAL,3584.00
29-04-2024,HONEST SURGICAL & MEDICINES AGENCIES(PUR,9610.00
29-04-2024,WEST INDIA LIFESCIENCE,2828.00
01-05-2024,ALPHA MEDICARE AND DEVICES PVT.LTD.,37413.00
01-05-2024,HI-TECH SURGICAL & FITNESS,34220.00
01-05-2024,KAVYA DISTRIBUTORS,5796.00
01-05-2024,VISA INDUSTRIES,156800.00
03-05-2024,KAVYA DISTRIBUTORS,946.00
04-05-2024,ASTRID HEALTHCARE LLP,28627.00
04-05-2024,ASTRID HEALTHCARE LLP,15904.00
04-05-2024,BIO-TECH DISTRIBUTORS(P),5685.00
06-05-2024,WEST INDIA LIFESCIENCE,10346.00
06-05-2024,KAVYA DISTRIBUTORS,18816.00
06-05-2024,WEST INDIA LIFESCIENCE,2817.00
06-05-2024,JAY KHODIYAR HEALTCARE,163825.00
07-05-2024,JAY KHODIYAR HEALTCARE,250978.00
09-05-2024,SHEFALI SURGICALS,2050.00
09-05-2024,VASURA MEDICAL AGENCIES,4256.00
09-05-2024,PRANAV SURGICALS,6658.00
09-05-2024,WEST INDIA LIFESCIENCE,12544.00
